R_AA,Proton Flux (/s),Substrate Flux (/s)
100000000.0,0.10436215869249858,-0.10384287564557043
83176377.11027354,0.10441211224268157,-0.10384273003449511
69183097.09189437,0.10446688511034366,-0.10384257033115246
57543993.733715996,0.10452694223206212,-0.10384239516705214
47863009.23226473,0.10459279339609648,-0.10384220303987544
39810717.05535005,0.10466499756867102,-0.1038419923002
33113112.148260538,0.10474416763746115,-0.10384176113687031
27542287.03338233,0.10483097561249477,-0.10384150756086807
22908676.527678147,0.10492615832855343,-0.10384122938752006
19054607.179633107,0.10503052369740118,-0.10384092421686188
15848931.924611658,0.10514495756281887,-0.10384058941195336
13182567.385564404,0.1052704312165205,-0.10384022207491693
10964781.96143192,0.1054080096386132,-0.10383981902044281
9120108.393559135,0.10555886053238435,-0.10383937674647002
7585775.750291873,0.10572426422990731,-0.10383889140171845
6309573.444802053,0.10590562455230637,-0.10383835874970254
5248074.602497801,0.10610448071657397,-0.10383777412880887
4365158.322401739,0.10632252038965538,-0.1038371324079648
3630780.5477010333,0.10656159400017808,-0.10383642793735938
3019951.720402054,0.10682373042878746,-0.10383565449360437
2511886.431509594,0.10711115420964178,-0.1038348052186356
2089296.1308540597,0.10742630438830915,-0.10383387255155518
1737800.8287493845,0.10777185519520754,-0.10383284815249841
1445439.7707459296,0.10815073870893564,-0.10383172281747265
1202264.4346174258,0.10856616970048953,-0.10383048638295786
1000000.0,0.10902167286757354,-0.10382912761887221
831763.7711026747,0.10952111268813086,-0.10382763410828912
691830.970918938,0.1100687261440096,-0.10382599211203791
575439.9373371599,0.11066915858948644,-0.10382418641602068
478630.09232264064,0.1113275030653921,-0.10382220015872515
398107.17055349797,0.11204934338799893,-0.10382001463600055
331131.12148259196,0.11284080137284716,-0.10381760907967093
275422.87033381755,0.11370858858752567,-0.10381496040598573
229086.7652767782,0.11466006306430288,-0.10381204292922094
190546.07179632524,0.11570329144367636,-0.1038088280349363
158489.31924611155,0.1168471170636132,-0.10380528380643411
131825.67385564116,0.11810123455674836,-0.10380137459682853
109647.81961431883,0.11947627156934691,-0.10379706053778184
91201.08393559109,0.12098387827166991,-0.10379229697436138
75857.75750291852,0.12263682538975042,-0.10378703381356266
63095.734448019415,0.12444911155369143,-0.10378121477177514
52480.7460249773,0.1264360808276142,-0.10377477650376692
43651.58322401665,0.12861455136141084,-0.10376764759254917
36307.805477010195,0.13100295618450203,-0.10375974737565255
30199.51720402023,0.13362149724673608,-0.10375098457878422
25118.86431509582,0.13649231390108357,-0.10374125572239778
20892.961308540416,0.13963966711630807,-0.10373044326023054
17378.008287493754,0.14309014080441726,-0.10371841340113998
14454.397707459295,0.14687286174603054,-0.10370501355637154
12022.64434617414,0.1510197396948515,-0.10369006934342903
10000.0,0.1555657293373493,-0.10367338106466535
8317.63771102671,0.1605491158716342,-0.10365471956317229
6918.309709189363,0.16601182604495918,-0.10363382134006542
5754.399373371568,0.17199976654503682,-0.10361038279528847
4786.30092322638,0.1785631916666565,-0.10358405342797569
3981.0717055349696,0.18575710215889404,-0.10355442780147625
3311.3112148259083,0.1936416770822494,-0.1035210360415209
2754.2287033381635,0.20228274034649818,-0.10348333259273301
2290.867652767773,0.21175226332889513,-0.103440682907671
1905.460717963247,0.22212890454927733,-0.10339234768262368
1584.893192461116,0.23349858675221966,-0.10333746418414753
1318.2567385564087,0.24595511084984706,-0.10327502412843712
1096.478196143186,0.2596008049255102,-0.10320384748063637
912.0108393559105,0.2745472047763147,-0.10312255143178513
758.5775750291843,0.29091576013741605,-0.10302951368613594
630.9573444801937,0.30883855759873363,-0.10292282905042824
524.8074602497728,0.3284590470607488,-0.10280025815955364
436.5158322401661,0.3499327530840488,-0.10265916700143975
363.0780547701014,0.3734279452961707,-0.10249645572158919
301.99517204020157,0.3991262326694314,-0.10230847500143819
251.188643150958,0.4272230344133507,-0.10209092812617522
208.92961308540407,0.45792786476181074,-0.10183875670537514
173.78008287493762,0.49146434929121185,-0.10154600791191902
144.54397707459282,0.5280698656939249,-0.10120568110280562
120.22644346174133,0.5679946712035997,-0.10080955183950067
100.0,0.6115003412039077,-0.10034797171963473
83.17637711026708,0.6588572982138304,-0.09980964318177316
69.18309709189361,0.7103411571498617,-0.09918136970551295
57.54399373371565,0.7662275521262544,-0.09844778380174325
47.8630092322638,0.8267850442267208,-0.09759105812529965
39.8107170553497,0.8922656433369703,-0.09659060924664521
33.113112148259084,0.9628924187866328,-0.09542280942723137
27.542287033381633,1.0388436373066994,-0.09406072948757796
22.908676527677702,1.1202328743774643,-0.09247394579094873
19.054607179632463,1.2070846278096377,-0.09062845653090708
15.848931924611156,1.2993051628187244,-0.08848676653333527
13.182567385564088,1.3966486888767833,-0.08600821457853383
10.964781961431862,1.4986795691436197,-0.08314963065310796
9.120108393559107,1.6047321466269504,-0.07986641892058749
7.585775750291844,1.713870963537193,-0.07611416017664649
6.309573444801936,1.824855616493361,-0.0718508081049876
5.248074602497728,1.936116089157172,-0.0670395089395929
4.365158322401661,2.0457458424262365,-0.061651997518306294
3.6307805477010144,2.151520750659176,-0.05567241211113482
3.019951720402016,2.250951535758345,-0.04910123282619567
2.5118864315095797,2.3413750379638016,-0.041958904194548945
2.089296130854041,2.4200850699933047,-0.034288586974164495
1.7378008287493762,2.484496879445773,-0.02615744307291913
1.4454397707459279,2.5323313740058664,-0.017655934585198332
1.2022644346174132,2.5617980915341763,-0.008894835969913056
1.0,2.5717517489896804,0.0
0.8317637711026707,2.561798077535477,0.008894682033701234
0.6918309709189363,2.5323312646048204,0.017655328073915105
0.5754399373371567,2.4844965241289136,0.026156111880645733
0.478630092322638,2.420084270925314,0.034286299572542665
0.3981071705534973,2.3413735765899504,0.041955479002477127
0.3311311214825911,2.2509491990919175,0.049096542367838183
0.27542287033381657,2.151517353030778,0.05566638228381289
0.22908676527677724,2.0457412402047876,0.06164460293167197
0.19054607179632463,1.9361101878340936,0.06703076561625189
0.15848931924611126,1.824848371016994,0.07184076486169427
0.13182567385564062,1.713862373643569,0.07610288981552497
0.10964781961431838,1.6047222491519155,0.07985401005691385
0.09120108393559087,1.4986684290947625,0.08313618068305707
0.07585775750291829,1.3966363906073842,0.08599382400918787
0.06309573444801925,1.2992918021589805,0.08847153468753848
0.052480746024977286,1.2070703055843888,0.09061247850524413
0.04365158322401665,1.1202176914230282,0.09245731047527385
0.03630780547701018,1.0388276908966552,0.09404351843221725
0.030199517204020185,0.9628758002685923,0.09540509635231285
0.02511886431509582,0.8922484367428696,0.0965724600130815
0.02089296130854041,0.8267673256227859,0.0975725310187913
0.017378008287493765,0.7662093894956014,0.09842893001343622
0.014454397707459281,0.7103226106369955,0.0991622339221266
0.012022644346174132,0.6588384205976165,0.09979026422257184
0.01,0.6114811784993794,0.10032838317722967
0.008317637711026707,0.5679752633212949,0.10078978269649619
0.006918309709189362,0.5280502471079468,0.10118575630741142
0.005754399373371567,0.4914445496843413,0.10152594890358387
0.004786300923226381,0.45790790962858324,0.10181858188696587
0.0039810717055349725,0.4272029456109401,0.1020706532828428
0.0033113112148259113,0.39910602891230423,0.10228811366857711
0.002754228703338166,0.3734076425945001,0.10247601950560448
0.0022908676527677724,0.3499123651283807,0.10263866585767899
0.0019054607179632465,0.32843858555685534,0.10277970063196691
0.0015848931924611123,0.3088180325572914,0.10290222247743862
0.0013182567385564062,0.29089518012336973,0.10300886437695411
0.001096478196143184,0.27452657712269907,0.10310186481705946
0.0009120108393559088,0.2595801359162322,0.10318312824094511
0.0007585775750291829,0.24593440587555837,0.10325427630373828
0.0006309573444801922,0.23347785044299707,0.10331669126692337
0.0005248074602497727,0.2221081408874054,0.10337155269710373
0.000436515832240166,0.21173147574464193,0.10341986847719621
0.0003630780547701017,0.20226193179939622,0.10346250099703547
0.00030199517204020185,0.19362085013005154,0.10350018926543969
0.00025118864315095817,0.18573625901606894,0.10353356757640798
0.0002089296130854041,0.17854233425401592,0.10356318126716497
0.00017378008287493758,0.17197889653185525,0.10358950002389762
0.0001445439770745928,0.1659909448847395,0.10361292912082028
0.00012022644346174131,0.16052822483249984,0.10363381891825878
0.0001,0.15554482952789173,0.1036524728944481
8.317637711026702e-05,0.15099883208613485,0.10366915444247451
6.918309709189356e-05,0.14685194719034556,0.10368409262718431
5.754399373371569e-05,0.1430692200512853,0.10369748706595674
4.786300923226379e-05,0.1396187408261567,0.10370951207116325
3.9810717055349695e-05,0.1364713826569495,0.10372032017017223
3.3113112148259036e-05,0.13360056156429656,0.10373004510028234
2.7542287033381616e-05,0.13098201652068672,0.10373880436043423
2.29086765276777e-05,0.1285936081218088,0.10374670138850255
1.9054607179632457e-05,0.1264151343728556,0.10375382742201357
1.584893192461111e-05,0.12442816220495642,0.10376026309093644
1.3182567385564046e-05,0.1226158734335337,0.10376607978347842
1.0964781961431837e-05,0.12096292396390991,0.10377134081933763
9.12010839355907e-06,0.11945531513901107,0.10377610245943306
7.585775750291812e-06,0.11808027620895326,0.10378041477657002
6.3095734448019246e-06,0.11682615698234458,0.103784322407672
5.248074602497711e-06,0.1156823297941659,0.10378786520499575
4.365158322401642e-06,0.11463909999510896,0.10379107880104704
3.630780547701002e-06,0.11368762423235902,0.1037939950996466
3.0199517204020083e-06,0.11281983585217549,0.10379664270368899
2.5118864315095755e-06,0.11202837681046042,0.1037990472885331
2.0892961308540292e-06,0.111306535529043,0.10380123192861361
1.7378008287493666e-06,0.1106481901829038,0.10380321738372425
1.4454397707459241e-06,0.11004775694726865,0.10380502235046633
1.2022644346174077e-06,0.10950014277367182,0.10380666368354566
1e-06,0.10900070230097271,0.10380815659091848
8.317637711026621e-07,0.10854519854114542,0.10380951480620881
6.918309709189354e-07,0.10812976701068108,0.10381075074133014
5.75439937337154e-07,0.10775088300685667,0.10381187562183021
4.786300923226337e-07,0.1074053317541461,0.10381289960712538
3.9810717055349507e-07,0.107090181169859,0.10381383189749178
3.31131121482587e-07,0.10680275701987842,0.1038146808294266
2.7542287033381515e-07,0.10654062025529014,0.10381545396077455
2.2908676527677316e-07,0.10630154633890689,0.10381615814683028
1.9054607179632197e-07,0.1060835063873397,0.10381679960846889
1.584893192461083e-07,0.10588464996947462,0.10381738399321966
1.318256738556401e-07,0.1057032894161119,0.10381791643008309
1.0964781961431804e-07,0.1055378855082136,0.10381840157878985
9.120108393559038e-08,0.1053870344227992,0.10381884367411462
7.585775750291646e-08,0.10524945582610994,0.10381924656578201
6.309573444801724e-08,0.10512398201332743,0.10381961375443856
5.248074602497551e-08,0.10500954800295365,0.10381994842410765
4.3651583224015805e-08,0.1049051825020103,0.10382025347149626
3.630780547700926e-08,0.10480999966556717,0.10382053153247964
3.019951720401886e-08,0.10472319158081493,0.10382078500605278
2.51188643150956e-08,0.10464402141202118,0.10382101607600643
2.0892961308540004e-08,0.10457181714829296,0.10382122673055563
1.7378008287493664e-08,0.10450596590116769,0.10382141878012427
1.4454397707459122e-08,0.10444590870370443,0.10382159387346848
1.2022644346173199e-08,0.1043911357669915,0.10382175351230016
1e-08,0.1043411821538577,0.10382189906455691
