R_off,k_AA_anti,k_AA_sym,R_AA,Proton Flux (/s),Substrate Flux (/s)
1e-10,1.0,5.0,0.2,0.024700693808414168,-0.02463498628715673
1.2589254117941602e-10,1.0,5.0,0.2,0.02470841268690152,-0.024634688504814973
1.584893192461103e-10,1.0,5.0,0.2,0.02471707319180116,-0.024634354393392996
1.995262314968867e-10,1.0,5.0,0.2,0.024726790162164156,-0.024633979521589834
2.51188643150957e-10,1.0,5.0,0.2,0.0247376924348359,-0.02463355891779678
3.162277660168375e-10,1.0,5.0,0.2,0.02474992454864367,-0.024633087004271453
3.981071705534963e-10,1.0,5.0,0.2,0.02476364865554321,-0.02463255752330638
5.011872336272719e-10,1.0,5.0,0.2,0.024779046663722028,-0.024631963454421535
6.309573444801887e-10,1.0,5.0,0.2,0.024796322640643385,-0.024631296921494954
7.943282347242791e-10,1.0,5.0,0.2,0.024815705507344646,-0.024630549088613604
9.999999999999972e-10,1.0,5.0,0.2,0.024837452059022325,-0.02462971004328226
1.2589254117941625e-09,1.0,5.0,0.2,0.02486185035107879,-0.024628768665464932
1.5848931924611111e-09,1.0,5.0,0.2,0.024889223494421207,-0.02462771248075101
1.9952623149688807e-09,1.0,5.0,0.2,0.024919933908940078,-0.024626527495736867
2.5118864315095745e-09,1.0,5.0,0.2,0.02495438808980374,-0.024625198013486206
3.1622776601683787e-09,1.0,5.0,0.2,0.024993041947544533,-0.024623706426681272
3.9810717055349615e-09,1.0,5.0,0.2,0.025036406789941925,-0.02462203298579673
5.01187233627272e-09,1.0,5.0,0.2,0.025085056021486973,-0.02462015553931566
6.309573444801932e-09,1.0,5.0,0.2,0.025139632644811213,-0.024618049242661796
7.943282347242797e-09,1.0,5.0,0.2,0.025200857657941368,-0.024615686232136856
1e-08,1.0,5.0,0.2,0.02526953945166905,-0.02461303525972794
1.2589254117941638e-08,1.0,5.0,0.2,0.025346584322761552,-0.02461006128417855
1.584893192461112e-08,1.0,5.0,0.2,0.025433008231243077,-0.024606725013198806
1.995262314968881e-08,1.0,5.0,0.2,0.025529949943593283,-0.024602982391119067
2.5118864315095768e-08,1.0,5.0,0.2,0.02563868571847229,-0.024598784025664726
3.162277660168379e-08,1.0,5.0,0.2,0.025760645707498055,-0.02459407454684321
3.981071705534961e-08,1.0,5.0,0.2,0.02589743226065428,-0.024588791890186906
5.01187233627272e-08,1.0,5.0,0.2,0.02605084034402803,-0.02458286649578286
6.309573444801938e-08,1.0,5.0,0.2,0.026222880296648026,-0.02457622041364297
7.943282347242805e-08,1.0,5.0,0.2,0.026415803173020013,-0.024568766305024983
9.999999999999998e-08,1.0,5.0,0.2,0.02663212893824043,-0.024560406328311024
1.2589254117941638e-07,1.0,5.0,0.2,0.02687467780288987,-0.02455103089698658
1.5848931924611122e-07,1.0,5.0,0.2,0.02714660500467937,-0.024540517296153478
1.9952623149688814e-07,1.0,5.0,0.2,0.027451439362248795,-0.02452872814286525
2.511886431509577e-07,1.0,5.0,0.2,0.027793125942539288,-0.024515509674412184
3.162277660168379e-07,1.0,5.0,0.2,0.028176073195398357,-0.024500689847538257
3.9810717055349634e-07,1.0,5.0,0.2,0.0286052049157268,-0.024484076230473408
5.01187233627272e-07,1.0,5.0,0.2,0.02908601739225057,-0.024465453668670336
6.30957344480194e-07,1.0,5.0,0.2,0.02962464208997965,-0.02444458170430195
7.943282347242806e-07,1.0,5.0,0.2,0.03022791418695574,-0.02442119172899526
1e-06,1.0,5.0,0.2,0.03090344724043825,-0.024394983849048302
1.2589254117941676e-06,1.0,5.0,0.2,0.03165971418765018,-0.02436562344263829
1.5848931924611126e-06,1.0,5.0,0.2,0.03250613478477639,-0.02433273738944036
1.9952623149688766e-06,1.0,5.0,0.2,0.03345316944685535,-0.02429590995484118
2.5118864315095768e-06,1.0,5.0,0.2,0.03451241926073288,-0.024254678313788674
3.1622776601683788e-06,1.0,5.0,0.2,0.035696731691843876,-0.02420852770355925
3.981071705534973e-06,1.0,5.0,0.2,0.037020311179941645,-0.024156886200677317
5.011872336272719e-06,1.0,5.0,0.2,0.03849883340393291,-0.02409911912527558
6.3095734448019305e-06,1.0,5.0,0.2,0.04014956147503339,-0.024034523086763813
7.943282347242806e-06,1.0,5.0,0.2,0.04199146167273997,-0.023962319698244035
1e-05,1.0,5.0,0.2,0.04404531555146672,-0.02388164900414586
1.2589254117941675e-05,1.0,5.0,0.2,0.0463338242999259,-0.023791562686528732
1.5848931924611124e-05,1.0,5.0,0.2,0.0488817001161416,-0.023691017140803614
1.9952623149688786e-05,1.0,5.0,0.2,0.0517157380597754,-0.023578866541546197
2.5118864315095768e-05,1.0,5.0,0.2,0.05486486036116294,-0.023453856053653913
3.1622776601683795e-05,1.0,5.0,0.2,0.058360123518699264,-0.02331461538304654
3.9810717055349735e-05,1.0,5.0,0.2,0.06223467673961334,-0.02315965290362445
5.01187233627272e-05,1.0,5.0,0.2,0.06652365843924722,-0.022987350641785833
6.309573444801929e-05,1.0,5.0,0.2,0.07126401571396687,-0.02279596044406761
7.943282347242806e-05,1.0,5.0,0.2,0.07649423009318279,-0.02258360169387581
0.0001,1.0,5.0,0.2,0.08225393166305724,-0.022348260974951295
0.00012589254117941672,1.0,5.0,0.2,0.08858338310700721,-0.022087794095833856
0.00015848931924611128,1.0,5.0,0.2,0.09552281565842341,-0.021799930883349174
0.00019952623149688788,1.0,5.0,0.2,0.10311160079770462,-0.021482283115023093
0.0002511886431509577,1.0,5.0,0.2,0.1113872451733846,-0.021132355880654003
0.00031622776601683794,1.0,5.0,0.2,0.12038420210882521,-0.020747562532767445
0.0003981071705534973,1.0,5.0,0.2,0.130132501534134,-0.020325243197038483
0.000501187233627272,1.0,5.0,0.2,0.14065621147779067,-0.019862686563876037
0.000630957344480193,1.0,5.0,0.2,0.1519717583396249,-0.019357154374972926
0.0007943282347242807,1.0,5.0,0.2,0.16408614966418023,-0.018805907667342494
0.001,1.0,5.0,0.2,0.17699516119444567,-0.018206233468407575
0.0012589254117941675,1.0,5.0,0.2,0.19068156822550075,-0.017555470289725723
0.0015848931924611121,1.0,5.0,0.2,0.20511351776662368,-0.0168510304989556
0.0019952623149688785,1.0,5.0,0.2,0.22024315038242406,-0.016090417526194098
0.0025118864315095773,1.0,5.0,0.2,0.23600558622272003,-0.015271235953287512
0.0031622776601683794,1.0,5.0,0.2,0.25231838621642233,-0.014391192909146203
0.003981071705534973,1.0,5.0,0.2,0.2690815848632762,-0.013448089897469826
0.00501187233627272,1.0,5.0,0.2,0.28617836480251635,-0.012439805228694662
0.006309573444801929,1.0,5.0,0.2,0.3034764062252076,-0.011364268581137935
0.007943282347242805,1.0,5.0,0.2,0.32082989887760316,-0.01021943078718824
0.01,1.0,5.0,0.2,0.33808215523371304,-0.009003233582881614
0.012589254117941663,1.0,5.0,0.2,0.35506871599605794,-0.00771358558099952
0.01584893192461114,1.0,5.0,0.2,0.371620799446102,-0.006348351910003489
0.019952623149688785,1.0,5.0,0.2,0.38756891975472213,-0.004905365584810328
0.02511886431509577,1.0,5.0,0.2,0.4027464900225861,-0.0033824685508026314
0.03162277660168379,1.0,5.0,0.2,0.41699323502689084,-0.0017775893349590342
0.03981071705534969,1.0,5.0,0.2,0.4301582651844932,-8.886228725978126e-05
0.05011872336272724,1.0,5.0,0.2,0.4421027033790126,0.001685209474158289
0.06309573444801929,1.0,5.0,0.2,0.4527018044807536,0.003545548977856158
0.07943282347242805,1.0,5.0,0.2,0.46184655718425405,0.005492264026120609
0.10000000000000002,1.0,5.0,0.2,0.469444802944021,0.007524380008147788
0.12589254117941662,1.0,5.0,0.2,0.4754219421214967,0.009639561973063227
0.15848931924611143,1.0,5.0,0.2,0.4797213194572343,0.011833845186121055
0.1995262314968879,1.0,5.0,0.2,0.4823043880749063,0.014101396603265693
0.2511886431509577,1.0,5.0,0.2,0.4831507437123774,0.01643433145283482
0.3162277660168379,1.0,5.0,0.2,0.48225810068255215,0.01882260890457652
0.39810717055349776,1.0,5.0,0.2,0.47964225136901295,0.021254028222084324
0.5011872336272725,1.0,5.0,0.2,0.4753370159016269,0.023714341607542766
0.6309573444801929,1.0,5.0,0.2,0.4693941525770227,0.026187492216371764
0.7943282347242806,1.0,5.0,0.2,0.46188316727103423,0.028655975972776394
1.0,1.0,5.0,0.2,0.4528909359790817,0.031101314688676118
1.2589254117941686,1.0,5.0,0.2,0.4425210424889317,0.03350461677431515
1.5848931924611143,1.0,5.0,0.2,0.4308927356557287,0.03584719195541307
1.9952623149688788,1.0,5.0,0.2,0.418139428790292,0.038111179318856755
2.511886431509577,1.0,5.0,0.2,0.4044066962499823,0.040280144884995185
3.1622776601683795,1.0,5.0,0.2,0.3898497662398789,0.04233960643124995
3.9810717055349776,1.0,5.0,0.2,0.37463055894667746,0.044277449465869236
5.011872336272725,1.0,5.0,0.2,0.35891436896340334,0.046084208338314045
6.30957344480193,1.0,5.0,0.2,0.34286633367686925,0.047753199118822386
7.943282347242821,1.0,5.0,0.2,0.3266478588160017,0.049280504353698226
9.999999999999998,1.0,5.0,0.2,0.31041318448711086,0.05066482232303625
12.589254117941689,1.0,5.0,0.2,0.2943062681516175,0.051907203483138376
15.848931924611142,1.0,5.0,0.2,0.27845813638674516,0.053010703371094835
19.95262314968879,1.0,5.0,0.2,0.2629848186950688,0.05397998401903569
25.118864315095824,1.0,5.0,0.2,0.24798592961160038,0.05482089511221949
31.622776601683796,1.0,5.0,0.2,0.23354391608170857,0.05554006243867221
39.81071705534977,1.0,5.0,0.2,0.219723941329076,0.05614450559482724
50.11872336272725,1.0,5.0,0.2,0.20657433872274444,0.056641300463370466
63.0957344480193,1.0,5.0,0.2,0.19412754226344464,0.057037295580629706
79.43282347242821,1.0,5.0,0.2,0.18240138517994245,0.05733888584862212
100.0,1.0,5.0,0.2,0.17140065409238323,0.057551842539934846
125.89254117941688,1.0,5.0,0.2,0.16111879144289887,0.05768119535695168
158.48931924611142,1.0,5.0,0.2,0.15153965096119026,0.05773116040328535
199.52623149688807,1.0,5.0,0.2,0.1426392272186826,0.0577051071318397
251.18864315095797,1.0,5.0,0.2,0.13438729844018002,0.05760555740743652
316.2277660168379,1.0,5.0,0.2,0.12674893974396728,0.057434210501383316
398.1071705534977,1.0,5.0,0.2,0.11968588047031843,0.05719198887801107
501.1872336272726,1.0,5.0,0.2,0.11315769336995375,0.056879100834289084
630.9573444801938,1.0,5.0,0.2,0.10712281475400039,0.05649511725276453
794.3282347242813,1.0,5.0,0.2,0.10153940320338486,0.05603906080678757
999.9999999999999,1.0,5.0,0.2,0.09636605028468428,0.055509506831335396
1258.9254117941687,1.0,5.0,0.2,0.09156236024453114,0.05490469568461488
1584.893192461114,1.0,5.0,0.2,0.08708941723587467,0.054222656735012274
1995.2623149688807,1.0,5.0,0.2,0.08291015864833588,0.05346134408805934
2511.88643150958,1.0,5.0,0.2,0.07898967192203038,0.05261878380382728
3162.2776601683795,1.0,5.0,0.2,0.07529543012578427,0.05169323164557474
3981.0717055349774,1.0,5.0,0.2,0.0717974788400725,0.0506833393644741
5011.872336272725,1.0,5.0,0.2,0.06846858373410263,0.04958832620977345
6309.573444801935,1.0,5.0,0.2,0.0652843448814551,0.0484081508426426
7943.282347242815,1.0,5.0,0.2,0.062223280536007536,0.0471436772528314
10000.0,1.0,5.0,0.2,0.05926688001724699,0.0457968268034899
12589.254117941686,1.0,5.0,0.2,0.056399622772517345,0.04437070737365906
15848.931924611143,1.0,5.0,0.2,0.053608958837231296,0.042869709964288065
19952.623149688807,1.0,5.0,0.2,0.05088524502574626,0.041299563308327986
25118.864315095798,1.0,5.0,0.2,0.04822163142249818,0.03966733815661272
31622.776601683792,1.0,5.0,0.2,0.04561389417488566,0.03798139508429935
39810.71705534978,1.0,5.0,0.2,0.043060213151322496,0.036251272830317705
50118.72336272726,1.0,5.0,0.2,0.04056089649762106,0.03448751814037185
63095.734448019364,1.0,5.0,0.2,0.03811805812644042,0.03270146247375957
79432.82347242814,1.0,5.0,0.2,0.035735258213867215,0.030904955277338893
99999.99999999999,1.0,5.0,0.2,0.03341712030881839,0.02911006729495744
125892.54117941686,1.0,5.0,0.2,0.031168941175276063,0.027328780070272746
158489.3192461114,1.0,5.0,0.2,0.02899631060052392,0.025572679041893306
199526.2314968881,1.0,5.0,0.2,0.02690475792778909,0.023852667244524055
251188.64315095794,1.0,5.0,0.2,0.024899440054187757,0.022178714671305087
316227.76601683797,1.0,5.0,0.2,0.022984882341029293,0.02055965509385773
398107.17055349774,1.0,5.0,0.2,0.021164779747437055,0.019003038017432555
501187.233627273,1.0,5.0,0.2,0.019441861039110338,0.0175150389929313
630957.3444801937,1.0,5.0,0.2,0.01781781465490971,0.016100427232358324
794328.2347242812,1.0,5.0,0.2,0.016293271162049528,0.014762585809797207
1000000.0,1.0,5.0,0.2,0.014867834484624663,0.013503576967296052
1258925.4117941686,1.0,5.0,0.2,0.013540152380172078,0.0123242433160455
1584893.1924611116,1.0,5.0,0.2,0.01230801594768247,0.011224335011914091
1995262.3149688807,1.0,5.0,0.2,0.01116847814614612,0.010202653159825653
2511886.431509586,1.0,5.0,0.2,0.01011798218271332,0.009257200561530782
3162277.6601683795,1.0,5.0,0.2,0.009152491964083572,0.008385332236566647
3981071.7055349774,1.0,5.0,0.2,0.00826761837297265,0.007583899695952994
5011872.336272718,1.0,5.0,0.2,0.00745873674612281,0.006849384545203681
6309573.444801937,1.0,5.0,0.2,0.006721092450144009,0.006178018496405545
7943282.347242836,1.0,5.0,0.2,0.006049892783951745,0.005565888185891697
10000000.000000002,1.0,5.0,0.2,0.0054403845331039485,0.005009024275820881
12589254.117941689,1.0,5.0,0.2,0.004887917348669164,0.004503475151497653
15848931.924611123,1.0,5.0,0.2,0.004387993733414072,0.004045366123555237
19952623.149688806,1.0,5.0,0.2,0.0039363068189215995,0.003630945433001516
25118864.31509587,1.0,5.0,0.2,0.003528767344448891,0.0032566185732873735
31622776.60168379,1.0,5.0,0.2,0.00316152133952326,0.0029189725245855973
39810717.055349775,1.0,5.0,0.2,0.0028309600029952997,0.0026147914768771497
50118723.362727195,1.0,5.0,0.2,0.0025337231926587244,0.0023410655313285816
63095734.44801939,1.0,5.0,0.2,0.002266697817312822,0.002094993739473582
79432823.47242837,1.0,5.0,0.2,0.002027012277422632,0.001873982686973084
100000000.0,1.0,5.0,0.2,0.0018120279463064405,0.0016756416681558764
125892541.179417,1.0,5.0,0.2,0.0016193285315967696,0.0014977753396320794
158489319.24611136,1.0,5.0,0.2,0.0014467080135027364,0.0013383745928987512
199526231.4968881,1.0,5.0,0.2,0.001292157726257722,0.001195606251081147
251188643.15095872,1.0,5.0,0.2,0.001153853034084397,0.0010678020757458977
316227766.01683795,1.0,5.0,0.2,0.001030139953583263,0.0009534474665735681
398107170.55349815,1.0,5.0,0.2,0.0009195219901947137,0.000851170149090095
501187233.62727195,1.0,5.0,0.2,0.0008206473862244699,0.0007597290725173672
630957344.4801942,1.0,5.0,0.2,0.0007322969204471299,0.0006780036796664681
794328234.7242844,1.0,5.0,0.2,0.0006533723529617365,0.0006049836620795717
1000000000.0000029,1.0,5.0,0.2,0.00058288557220687,0.0005397592747390227
1258925411.794171,1.0,5.0,0.2,0.000519948472369866,0.0004815122540968869
1584893192.4611251,1.0,5.0,0.2,0.00046376356748933944,0.00042950735955518373
1995262314.968881,1.0,5.0,0.2,0.0004136153321467234,0.00038308454061872704
2511886431.509586,1.0,5.0,0.2,0.00036886224672248084,0.0003416517186809533
3162277660.168384,1.0,5.0,0.2,0.0003289295168596598,0.00030467816287436613
3981071705.534988,1.0,5.0,0.2,0.0002933024312774509,0.00027168843285148677
5011872336.272755,1.0,5.0,0.2,0.0002615203187839905,0.00024225685711900554
6309573444.801974,1.0,5.0,0.2,0.00023317106373642465,0.00021600251310021682
7943282347.24286,1.0,5.0,0.2,0.00020788613886980726,0.00019258467402014933
10000000000.0,1.0,5.0,0.2,0.00018533611502920657,0.00017169868764851685
1e-10,2.0,4.0,0.5,0.03957257683389891,-0.03951916522986092
1.2589254117941602e-10,2.0,4.0,0.5,0.03957888446450522,-0.03951895602181552
1.584893192461103e-10,2.0,4.0,0.5,0.039585961650434646,-0.03951872128842463
1.995262314968867e-10,2.0,4.0,0.5,0.03959390226781584,-0.03951845791561622
2.51188643150957e-10,2.0,4.0,0.5,0.039602811641230126,-0.03951816240947108
3.162277660168375e-10,2.0,4.0,0.5,0.039612807939037646,-0.03951783084990743
3.981071705534963e-10,2.0,4.0,0.5,0.03962402373854561,-0.03951745883872267
5.011872336272719e-10,2.0,4.0,0.5,0.039636607781636,-0.03951704144130596
6.309573444801887e-10,2.0,4.0,0.5,0.039650726943957236,-0.03951657312125215
7.943282347242791e-10,2.0,4.0,0.5,0.03966656844356971,-0.039516047667014484
9.999999999999972e-10,2.0,4.0,0.5,0.039684342318049376,-0.039515458109628816
1.2589254117941625e-09,2.0,4.0,0.5,0.03970428420253803,-0.03951479663042581
1.5848931924611111e-09,2.0,4.0,0.5,0.039726658445123325,-0.03951405445751583
1.9952623149688807e-09,2.0,4.0,0.5,0.03975176160028494,-0.03951322174968618
2.5118864315095745e-09,2.0,4.0,0.5,0.03977992634600151,-0.039512287466184993
3.1622776601683787e-09,2.0,4.0,0.5,0.039811525875541424,-0.039511239220684155
3.9810717055349615e-09,2.0,4.0,0.5,0.03984697882100947,-0.03951006311750781
5.01187233627272e-09,2.0,4.0,0.5,0.03988675477246851,-0.03950874356798486
6.309573444801932e-09,2.0,4.0,0.5,0.039931380463966736,-0.039507263084527754
7.943282347242797e-09,2.0,4.0,0.5,0.03998144670615818,-0.03950560204975447
1e-08,2.0,4.0,0.5,0.04003761615449373,-0.03950373845765235
1.2589254117941638e-08,2.0,4.0,0.5,0.040100632012268454,-0.039501647623427276
1.584893192461112e-08,2.0,4.0,0.5,0.04017132777923957,-0.039499301858286866
1.995262314968881e-08,2.0,4.0,0.5,0.04025063816917239,-0.039496670104965624
2.5118864315095768e-08,2.0,4.0,0.5,0.04033961133363945,-0.039493717529311544
3.162277660168379e-08,2.0,4.0,0.5,0.040439422544787544,-0.03949040506271071
3.981071705534961e-08,2.0,4.0,0.5,0.04055138950670854,-0.039486688889523926
5.01187233627272e-08,2.0,4.0,0.5,0.04067698948359525,-0.039482519873043874
6.309573444801938e-08,2.0,4.0,0.5,0.040817878453123,-0.039477842912744414
7.943282347242805e-08,2.0,4.0,0.5,0.0409759125155395,-0.0394725962247814
9.999999999999998e-08,2.0,4.0,0.5,0.04115317181281547,-0.03946671053681316
1.2589254117941638e-07,2.0,4.0,0.5,0.041351987237907506,-0.03946010818722604
1.5848931924611122e-07,2.0,4.0,0.5,0.041574970241673365,-0.03945270211778278
1.9952623149688814e-07,2.0,4.0,0.5,0.041825046074128444,-0.03944439474754167
2.511886431509577e-07,2.0,4.0,0.5,0.04210549082733256,-0.03943507671463031
3.162277660168379e-07,2.0,4.0,0.5,0.04241997267890021,-0.03942462547109372
3.9810717055349634e-07,2.0,4.0,0.5,0.04277259776741712,-0.0394129037145694
5.01187233627272e-07,2.0,4.0,0.5,0.04316796116320795,-0.039399757638990375
6.30957344480194e-07,2.0,4.0,0.5,0.04361120342890552,-0.03938501498486863
7.943282347242806e-07,2.0,4.0,0.5,0.04410807329279135,-0.03936848286800816
1e-06,2.0,4.0,0.5,0.044664996982082976,-0.0393499453637344
1.2589254117941676e-06,2.0,4.0,0.5,0.04528915478090161,-0.03932916082196113
1.5848931924611126e-06,2.0,4.0,0.5,0.045988565385508696,-0.03930585888667864
1.9952623149688766e-06,2.0,4.0,0.5,0.04677217862366466,-0.03927973719180505
2.5118864315095768e-06,2.0,4.0,0.5,0.04764997708071559,-0.0392504577038788
3.1622776601683788e-06,2.0,4.0,0.5,0.04863308712606914,-0.03921764268088614
3.981071705534973e-06,2.0,4.0,0.5,0.04973389975241217,-0.03918087021575509
